Area Code;Area Name;Type;State;Region;Neighborhood;Coordinates;CDU 2005;SPD 2005;FDP 2005;GREEN 2005;LEFT 2005;Elect. Particptn. 2005;CDU 2009;SPD 2009;FDP 2009;GREEN 2009;LEFT 2009;Elect. Participtn. 2009;Pop. Density;Elderly pop.;Old Pop.;Mid-aged Pop.;Young Pop.;Children Pop.;Highschool degree;No school degree;Registrd Web Doms;Business Regstr.;Income;GDP growth 2009;GDP growth 2008;Workforce;#cars;Agricult. workf.;Prod. workf.;Manufac. Workf.;Constr. workf.;Service workf.;Trade workf.;Finance workf.;Pub. serv. workf.;Bankruptcies;Unemploy.;Unempl. Youth
1001;Flensburg;Urban;Schleswig-Holstein;North;1059;54.793149, 9.445471;28,8;43,5;8,7;10,4;6,4;73,2;24,7;28;14,4;16,1;11,6;67,4;1559,8;19,6;24,3;29,1;11,7;15,4;41,8;7,2;140,3;104,6;15450;-1,2;1,8;907,4;430,3;0,3;14;10,8;2,4;85,7;31,1;16,9;37,7;203,6;13;12,2
1002;Kiel;Urban;Schleswig-Holstein;North;1057,1058;54.322395, 10.121557;27,8;42,3;8,4;13,1;6,2;77;24,4;30;12,9;17,6;9,9;71,7;2008,3;18,5;25,5;30,9;10,8;14,5;36,1;7,1;172,9;103,6;15983;0,6;5,1;939,9;399,8;0,3;12,5;9,3;2,6;87,1;24;19,9;43,3;150,2;10,9;8,5
1003;Luebeck;Urban;Schleswig-Holstein;North;1055,1062,1053,13058;53.865010, 10.681037;30,6;44;8,3;9,2;5,7;73,1;26,6;30,5;14;13,9;10,1;68,3;979,5;23,1;25,9;26,6;8,8;15,7;27,7;7,7;136,1;94,1;17588;-2;1,7;876,9;406,3;0,6;18,2;13,6;4,1;81,2;27,2;19,5;34,5;116,2;12,3;12,9
1004;Neumuenster;Urban;Schleswig-Holstein;North;1057,1058,1060;54.072245, 9.990648;33,3;42,4;9,4;6,5;5,1;72,5;30,1;31;15;11;8,4;65,4;1073,5;21,9;26,2;25,2;8,9;17,8;35,8;5,8;96,1;108,7;16815;1,1;-0,2;925,8;468,6;1,2;16,9;11,3;5,1;81,9;33,2;18,6;30,1;131,5;11,3;12,8
1051;Dithmarschen;Rural;Schleswig-Holstein;North;1054,1058,1059,1061,3359;54.195788, 9.101376;41,7;35,7;10,5;5,1;4,5;77,3;36,5;24,3;18,8;8,4;7,9;71,1;94,7;23,1;27,4;23,6;7,7;18,3;20,9;7,2;105,1;108,6;17800;-2,1;1,8;660,3;512,8;6,6;22,3;14,6;7;71,1;28,2;9,6;33,2;86,7;9,7;11,8
1053;Herzogtum Lauenburg;Rural;Schleswig-Holstein;North;1003,1062,2000,3353,3355,13058,13054;53.624852, 10.682600;36,9;36,7;10,8;8,6;4,6;80,5;32,6;26,1;16,9;12,1;8,2;75,6;147,8;21,6;27,6;25,2;7,2;18,4;20;7,6;143,2;94,4;19604;-0,6;-3,7;542,5;523,8;4,5;21;14,7;5,8;74,5;27,4;12,6;34,5;70,3;6,7;8
1054;Nordfriesland;Rural;Schleswig-Holstein;North;1051,1059;54.483007, 9.047628;41,4;36,4;9,9;6,7;3,6;78,2;36,3;24,6;16,5;12,6;6,3;72,3;79,6;22,2;26,8;25,1;7,8;18,2;18,2;6,4;165,6;129,5;17675;0,1;3,3;783,8;530,4;5,4;14,2;5,8;6,7;80,4;34,1;10,2;36,1;76,7;8;7
1055;Ostholstein;Rural;Schleswig-Holstein;North;1003,1057,1060,1062;54.100836, 10.788007;37,9;38,7;10,4;6,6;4,2;79;32,8;28,4;17,7;10,5;7,2;73;147,2;25,4;28,7;23,4;6,8;15,7;20,3;7,2;131,7;101,3;18516;-1,5;1,1;670,8;522,7;3,6;16,6;10,1;5,2;79,8;31,2;11,6;37;140,5;8;8,6
1056;Pinneberg, Kreis;Rural;Schleswig-Holstein;North;1060,1061,2000,3359;53.655810, 9.787596;36,8;37,4;10,3;9,1;4,4;81,7;33,1;26,3;16,6;12,1;7,8;75,6;455,3;21,3;27,8;26;7,2;17,6;33,3;5,8;190,5;105,6;20360;-0,5;-1,8;614,7;504,3;3,9;24;16,9;5,9;72,1;31,2;14,2;26,6;104,8;6,2;7,2
1057;Ploen;Rural;Schleswig-Holstein;North;1002,1004,1055,1058,1060;54.161848, 10.426164;37,3;38,5;9,5;8,4;4,1;82,5;32,7;27,6;16,1;13,6;6,5;77,7;124,2;22,7;27,9;25,7;6,6;17;20;7,3;126,2;86,8;18213;-0,5;0;500,4;508,1;5,1;17,2;9,3;7,7;77,7;26,4;12,9;38,5;50;6,8;7
