age,education,ethnicity (white::other),gender (female::male),hours-per-week,income (<=50k::>50k)
39,13,1,0,40,1
50,13,1,0,13,1
38,9,1,0,40,1
53,7,0,0,40,1
28,13,0,1,40,1
37,14,1,1,40,1
49,5,0,1,16,1
52,9,1,0,45,0
31,14,1,1,50,0
42,13,1,0,40,0
37,10,0,0,80,0
30,13,0,0,40,0
23,13,1,1,30,1
32,12,0,0,50,1
40,11,0,0,40,0
34,4,0,0,45,1
25,9,1,0,35,1
32,9,1,0,40,1
38,7,1,0,50,1
43,14,1,1,45,0
40,16,1,0,60,0
54,9,0,1,20,1
35,5,0,0,40,1
43,7,1,0,40,1
59,9,1,1,40,1
56,13,1,0,40,0
19,9,1,0,40,1
54,10,0,0,60,0
39,9,1,0,80,1
49,9,1,0,40,1
23,12,1,0,52,1
20,10,0,0,44,1
45,13,1,0,40,1
30,10,1,0,40,1
22,10,0,0,15,1
48,7,1,0,40,1
21,10,1,0,40,1
19,9,1,1,25,1
31,10,1,0,38,0
48,12,1,0,40,1
31,5,1,0,43,1
53,13,1,0,40,1
24,13,1,0,50,1
49,9,1,1,40,1
25,9,1,0,35,1
57,13,0,0,40,0
53,9,1,0,38,1
44,14,1,1,40,1
41,11,1,0,40,1
29,11,1,0,43,1
25,10,0,1,40,1
18,9,1,1,30,1
47,15,1,1,60,0
50,13,1,0,55,0
47,9,1,0,60,1
43,10,1,0,40,0
46,3,1,0,40,1
35,11,1,0,40,1
41,9,1,0,48,1
30,9,1,0,40,1
30,13,1,0,40,1
32,4,1,0,40,1
48,9,1,0,40,1
42,16,1,0,45,0
29,10,1,0,58,1
36,9,1,0,40,1
28,10,1,1,40,1
53,9,1,1,40,0
49,10,1,0,50,0
25,10,1,0,40,1
19,10,1,0,32,1
31,13,0,1,40,1
29,13,1,0,70,0
23,10,1,0,40,1
79,10,1,0,20,1
27,9,1,0,40,1
40,12,1,0,40,1
67,6,1,0,2,1
18,7,1,1,22,1
31,4,1,0,40,1
18,9,1,0,30,1
52,13,1,0,40,1
46,9,1,1,40,1
59,9,1,0,48,1
44,9,1,1,40,0
53,9,1,1,35,1
49,9,1,0,40,0
33,14,1,0,50,1
30,5,1,0,40,1
43,16,1,1,50,0
57,11,1,0,40,1
37,10,1,1,40,1
28,10,0,1,25,1
30,9,0,1,35,1
34,13,1,0,40,0
29,10,1,0,50,1
48,16,1,0,60,0
37,10,1,0,48,0
48,12,1,1,40,1
32,9,0,0,40,1
76,14,1,0,40,0
44,13,1,0,60,0
47,14,1,1,50,1
20,10,1,1,40,1
29,9,1,0,40,1
32,9,1,0,40,0
17,6,1,1,32,1
30,7,1,0,40,1
31,9,1,1,40,1
42,9,1,0,40,1
24,13,1,0,40,1
38,15,1,0,40,0
56,9,1,0,50,0
28,10,1,1,25,1
36,9,1,1,40,1
53,5,1,0,50,1
56,10,1,0,50,1
49,11,0,0,40,0
55,10,1,0,56,1
22,9,1,0,41,1
21,10,1,1,40,1
40,13,1,0,60,1
30,13,0,0,40,1
29,13,1,0,50,0
19,10,0,0,35,1
47,13,1,1,40,0
20,10,1,1,28,1
31,12,1,0,40,0
35,9,1,0,40,1
39,10,1,0,40,1
28,12,1,1,60,1
24,9,1,1,40,1
38,9,1,0,35,1
37,13,1,0,50,1
46,12,0,1,36,1
38,14,1,0,40,0
43,9,1,0,60,1
27,11,1,1,35,1
20,10,1,0,20,1
49,10,0,0,40,0
61,9,1,0,40,1
27,10,1,1,40,1
19,10,1,0,30,1
45,11,1,1,40,0
70,10,1,0,40,1
31,9,0,1,30,1
22,10,1,0,24,1
36,9,1,1,24,1
64,7,1,0,40,1
43,10,1,1,40,1
47,10,1,1,38,1
34,9,1,1,40,1
33,13,0,1,40,1
21,9,1,0,35,1
52,9,1,0,45,0
48,9,1,0,46,1
23,13,1,0,40,1
71,10,0,0,2,1
29,9,1,0,60,1
42,13,0,0,50,1
68,2,1,1,20,1
25,9,1,1,40,1
44,14,0,1,40,1
28,9,0,1,40,1
45,14,1,0,40,0
36,10,1,1,40,1
39,12,1,0,42,1
46,14,1,0,40,1
18,7,1,0,16,1
66,11,1,1,20,1
27,9,1,0,40,1
28,9,1,0,40,1
51,10,1,0,40,0
27,13,1,0,50,1
28,13,1,0,40,0
27,9,1,1,25,1
21,9,0,0,40,1
34,9,0,0,40,1
18,9,1,0,12,1
33,13,1,0,65,1
44,10,0,0,38,0
43,10,1,1,40,1
30,10,0,0,45,1
40,4,1,0,40,0
37,10,1,0,42,0
34,9,0,0,40,1
41,13,1,1,40,1
53,13,1,1,50,1
31,14,1,1,50,1
58,16,1,0,1,0
38,10,0,1,28,1
24,10,1,0,40,1
41,13,0,0,40,1
47,10,1,0,45,1
41,13,1,0,24,1
23,3,1,0,40,1
36,10,1,0,40,1
40,14,1,1,55,0
35,14,1,0,40,0
24,9,1,0,40,1
26,14,1,1,40,1
19,9,1,0,40,1
51,13,1,0,50,0
42,10,1,1,40,1
37,9,1,1,35,1
18,7,1,1,40,1
36,13,0,0,36,0
35,9,1,0,60,1
58,9,1,1,35,0
17,7,1,1,12,1
44,9,0,0,40,1
37,9,1,0,40,0
35,10,0,1,40,1
60,9,0,0,40,1
54,4,1,0,40,0
37,13,0,0,60,0
50,12,1,1,40,1
38,13,1,0,50,1
45,13,1,0,55,1
25,6,1,0,40,1
31,10,1,0,40,1
64,2,1,0,40,1
90,9,0,0,40,1
54,9,0,0,20,1
53,1,1,1,35,1
18,9,1,1,40,1
60,6,0,1,10,1
66,9,1,0,50,1
75,11,1,1,20,1
65,9,1,1,40,1
35,7,0,0,40,1
41,9,0,1,38,1
25,10,1,0,42,1
33,10,0,1,40,1
28,15,1,0,55,0
59,9,1,0,40,1
40,10,1,1,38,1
41,13,1,0,50,0
38,14,1,0,70,0
23,9,1,0,40,1
40,13,1,0,40,0
41,9,1,1,20,1
24,12,1,0,50,1
20,10,1,0,20,1
38,10,1,0,40,1
56,9,1,0,35,1
58,9,1,0,45,0
32,9,1,1,34,1
40,12,1,0,60,0
45,9,1,0,40,1
41,15,1,1,40,0
42,13,0,1,40,1
59,6,0,1,30,1
19,10,1,0,40,1
58,10,1,0,20,1
42,9,0,0,40,0
20,9,1,1,40,1
32,9,1,1,30,1
45,11,1,1,45,1
50,4,1,0,40,1
36,13,1,1,40,1
45,9,1,0,60,1
17,7,1,0,12,1
59,10,1,0,40,1
26,7,1,0,40,1
37,10,0,0,75,0
19,10,1,0,24,1
64,9,1,0,40,0
33,13,1,1,45,1
33,9,1,1,40,0
61,9,1,0,40,0
17,5,1,0,24,1
50,14,1,0,98,1
27,14,1,0,35,1
30,9,1,1,40,1
43,9,0,0,40,1
44,10,1,0,40,0
35,10,1,1,40,1
25,10,1,1,40,1
24,10,1,1,48,0
22,13,1,1,15,1
42,10,1,0,40,0
34,12,0,1,45,1
60,13,1,1,42,1
21,9,1,0,40,1
57,14,1,0,40,0
41,15,1,0,60,0
50,10,1,0,45,1
25,13,1,1,40,1
50,4,1,0,40,1
36,13,1,0,45,1
31,9,1,1,40,1
29,13,1,0,56,1
21,10,1,0,45,1
27,13,0,1,40,1
65,9,1,0,16,1
37,13,1,1,60,1
39,14,0,1,40,1
24,9,1,0,40,1
38,9,1,0,80,1
48,13,1,0,40,0
21,10,0,1,25,1
31,9,1,0,45,0
55,9,1,0,40,0
24,10,0,1,40,1
